machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,machine1
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,9346000000,22146000000,7130000000,68328000000,176000000,186000000,8000000,6000000,3713148,13003335000,9548959000,37771,2210655,1052000000,3.3574796,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,9346000000,22142000000,7130000000,68326000000,232000000,186000000,8000000,6000000,3713446,13005317000,9545360000,37771,2210655,1064000000,3.6163435,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,10432000000,24720000000,7958000000,76272000000,208000000,204000000,10000000,6000000,4145484,14515350000,10651865000,37771,2215167,1178000000,3.4290614,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,10434000000,24722000000,7956000000,76272000000,194000000,208000000,8000000,6000000,4145256,14515483000,10663130000,37771,2215168,1158000000,3.4290614,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,12200000000,28910000000,9304000000,89206000000,228000000,238000000,12000000,8000000,4848386,16975164000,12467357000,37771,2222505,1360000000,3.1256564,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,12208000000,28916000000,9308000000,89202000000,224000000,244000000,10000000,8000000,4849573,16976721000,12466432000,37771,2222504,1358000000,3.0630157,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,13414000000,31788000000,10234000000,98084000000,260000000,268000000,12000000,8000000,5327972,18669206000,13707820000,37771,2227626,1476000000,2.9414048,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,13414000000,31786000000,10232000000,98078000000,274000000,268000000,12000000,8000000,5328433,18667070000,13705154000,37771,2227626,1534000000,2.9414048,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,14330000000,33958000000,10930000000,1.05E+11,274000000,280000000,12000000,8000000,5693421,19940213000,14646269000,37771,2231350,1578000000,2.6847758,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,14334000000,33956000000,10930000000,1.05E+11,290000000,282000000,10000000,8000000,5693653,19940866000,14700632000,37771,2231350,1586000000,2.8333333,corona
