machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),duration_ratio_1_2
corona,kripke.exe,0.05,330000000.0,446517427.0,243857531.0,1432000000.0,30562266.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547498.0,3059100.0,277673575.0,1.121878,1.666
corona,kripke.exe,0.0666,334000000.0,450440941.0,243771898.0,1434000000.0,28813643.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547498.0,3059100.0,284592327.0,1.352782,1.2507507507507507
corona,kripke.exe,0.05,340000000.0,464589925.0,246763929.0,1456000000.0,29359766.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547486.0,3059100.0,310541280.0,1.138423,2.332
corona,kripke.exe,0.05,340000000.0,467912197.0,249225406.0,1460000000.0,28944091.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538330.0,3059100.0,321609533.0,1.169145,1.666
corona,kripke.exe,0.05,350000000.0,447441662.0,238604516.0,1464000000.0,26016440.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539850.0,3059100.0,331314668.0,1.182823,1.332
corona,kripke.exe,0.05,354000000.0,453934815.0,239997573.0,1482000000.0,27261217.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547115.0,3059100.0,347410445.0,1.16633,1.332
corona,kripke.exe,0.05,348000000.0,465834531.0,244115123.0,1446000000.0,26843285.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547488.0,3059100.0,372357565.0,1.233832,1.666
corona,kripke.exe,0.05,368000000.0,485929237.0,248281987.0,1532000000.0,26966357.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538330.0,3059100.0,408670380.0,1.230302,1.666
corona,kripke.exe,0.05,382000000.0,506185868.0,253269471.0,1576000000.0,27559372.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539850.0,3059100.0,455857755.0,1.289451,2.332
corona,kripke.exe,0.0666,386000000.0,533114671.0,276865826.0,1604000000.0,35569208.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541382.0,3059100.0,551439035.0,1.310536,1.5015015015015014
corona,kripke.exe,0.05,400000000.0,554270368.0,281280351.0,1646000000.0,34098815.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,544446.0,3059100.0,593384507.0,1.365085,2.9999999999999996
corona,kripke.exe,0.0666,416000000.0,574452118.0,288920386.0,1694000000.0,36117061.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541370.0,3059100.0,649345982.0,1.42447,1.2507507507507507
corona,kripke.exe,0.05,442000000.0,632684044.0,298533738.0,1790000000.0,37234819.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538318.0,3059100.0,764455029.0,1.502413,4.0
corona,kripke.exe,0.0666,472000000.0,688724086.0,311302519.0,1894000000.0,38732723.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,544448.0,3059100.0,872969279.0,1.59079,1.7507507507507505
corona,kripke.exe,0.0666,320000000.0,420942712.0,220237050.0,1334000000.0,21363885.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547500.0,3059100.0,245196399.0,1.089813,1.7507507507507505
corona,kripke.exe,0.0666,322000000.0,417860187.0,221044145.0,1342000000.0,22214281.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547500.0,3059100.0,254194353.0,1.114316,1.7507507507507505
corona,kripke.exe,0.05,322000000.0,427357203.0,223088049.0,1344000000.0,21848724.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547522.0,3059100.0,260497427.0,1.103654,2.666
corona,kripke.exe,0.05,328000000.0,435946823.0,224516724.0,1362000000.0,22125552.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,545583.0,3059100.0,285575871.0,1.131175,1.666
corona,kripke.exe,0.05,334000000.0,443485559.0,227071294.0,1380000000.0,4352852.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,544434.0,3059100.0,301749014.0,1.148784,4.6659999999999995
