machine,app,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
quartz,miniVite,0,0.32616279062771936,0.32855822544339125,0.23515981733333335,0.3283208019321444,0,0,0,0,0.01369863,0.001748923,0.006953084,2.398245771132422e-06,7.588713767550485e-06,0,0.6986168865755682
quartz,miniVite,0,0.12151162790463256,0.12245841036384388,0.086757991,0.12096908936750692,0,0,0,0,0.02739726,0.00011952,0.000165604,2.398245771132422e-06,3.7943568837752427e-06,0,0.39903846163036355
quartz,miniVite,0,0.2586300872160688,0.3510426294070515,0.5625,0.3373746866350471,0,0,0,0,0.484375,0.11738991383170742,0.19224664862296933,0.9371468426113052,0.9373559779373678,0.5925925925925926,0.39903846163036355
quartz,miniVite,0,0.45523255805551477,0.454713494,0.31050228308333333,0.4527986631968924,0,0,0,0,0.01369863,0.016019879,0.017880625,2.398245771132422e-06,8.853499395476e-06,0,0.39903846163036355
quartz,miniVite,0,0.12965116279205482,0.12985212569969246,0.089041096,0.13015873010295814,0,0,0,0,0.01369863,0.000154713,0.000115439,2.398245771132422e-06,3.7943568837752427e-06,0,0.39903846163036355
quartz,miniVite,0,0.3222928779154088,0.4253624653625985,0.6536458333333334,0.4132257726651259,0,0,0,0,0.703125,0.28073861786931265,0.31064132837752007,0.9685727697880803,0.9686714968303148,0.5925925925925926,0.4982007140714419
quartz,miniVite,0,0.093604651,0.093807763,0.063926941,0.093400167,0,0,0,0,0.01369863,0.000678874,0.001922321,2.398245771132422e-06,3.7943568837752427e-06,0.032470826986666666,0.099460037
quartz,miniVite,0,0.305714026,0.4164019177651212,0.75,0.4050308060839867,0.39999999999999997,0,0,0,0.78125,0.8659567390609015,0.9333392227444071,0.9685736818293139,0.9686801527070424,0.6296296296296297,0.4982007140714419
quartz,miniVite,0,0.3436046511310827,0.3470425139516818,0.24429223741666667,0.34603174596043523,0,0,0,0,0.01369863,0.002927282,0.002899317,2.398245771132422e-06,7.588713767550485e-06,0,0.39903846163036355
quartz,miniVite,0,0.16162790697748444,0.16127541591078276,0.11415525116666667,0.16140350876205548,0,0,0,0,0.01369863,7.113122833940746e-05,0.000125777,2.398245771132422e-06,3.7943568837752427e-06,0,0.39903846163036355
quartz,miniVite,0,0.15584120639942606,0.25616624308082137,0.5026041666666667,0.22378863820809494,0,0,0,0,0.78125,0.10920661490621492,0.1705271647716526,0.9685736818293139,0.9686743821225573,0.5925925925925926,0.4982007140714419
quartz,miniVite,0,0.5895348837828657,0.5938077633952634,0.4132420091666667,0.5923141184755412,0,0,0,0,0.01369863,0.009580795,0.006121188,2.398245771132422e-06,8.853499395476e-06,0,0.1995192308151818
quartz,miniVite,0,0.062790698,0.061922366,0.043378995,0.062656642,0,0,0,0,0.01369863,0.000426267,0.000730326,2.398245771132422e-06,6.3239281396254045e-06,0,0.39903846163036355
quartz,miniVite,0,0.39059774710324235,0.46331301989309054,0.6171875,0.45858395978864036,0,0,0,0,0.78125,0.2963320145411046,0.2688822655948633,0.9999999999999999,0.999995673,0.7037037037037037,0.4982007140714419
quartz,miniVite,0,0.061627907,0.062384473,0.0456621,0.062322472816969426,0,0,0,0,0.01369863,0.001186133,0.000900858,2.398245771132422e-06,6.3239281396254045e-06,0,0.39903846163036355
quartz,miniVite,0,0.34948219477658526,0.4274708295031814,0.6354166666666667,0.44276576848086013,0,0,0,0,0.71875,0.8754897750149544,0.9208197117424458,0.937146973,0.9373617485218529,0.7037037037037037,0.4982007140714419
quartz,miniVite,0,0.31511627910998846,0.317005545,0.2146118721666667,0.3167919798731162,0,0,0,0,0.01369863,0.001704318,0.0050947,2.398245771132422e-06,6.3239281396254045e-06,0,0.39903846163036355
quartz,miniVite,0,0.084302326,0.08271719,0.059360730591666674,0.083542189,0,0,0,0,0.01369863,3.581391135788792e-05,0.000430959,2.398245771132422e-06,3.7943568837752427e-06,0,0
quartz,miniVite,0,0.1452307412828694,0.22875750925324378,0.46614583333333337,0.22226399326276672,0,0,0,0,0.9375,0.080120878,0.16287556363218914,0.999612341,0.999995673,0.8148148148148148,0.5979603294790328
quartz,miniVite,0,0.3575581395762152,0.35951940846707464,0.25342465750000004,0.3592314117784572,0,0,0,0,0.01369863,0.010331864122050111,0.007901835,2.398245771132422e-06,8.853499395476e-06,0,0.1995192308151818
quartz,miniVite,0,0.1395348837298134,0.13909426986950318,0.095890411,0.1388471177716971,0,0,0,0,0.01369863,0.000239873,0.000335856,2.398245771132422e-06,3.7943568837752427e-06,0.032470826986666666,0.39903846163036355
quartz,miniVite,0,0.26327216570456236,0.36263863218025744,0.7161458333333334,0.35891029648780814,0,0,0,0,0.96875,0.33650601641010114,0.25639659850891605,0.9685731607819912,0.9686772674147999,0.7407407407407407,0.5187979038504831
quartz,miniVite,0,0.055813953,0.055452865,0.038812785,0.055472013356306554,0,0,0,0,0.01369863,0.001428347,0.000809709,2.398245771132422e-06,7.588713767550485e-06,0,0.39903846163036355
quartz,miniVite,0,0.3209665697758392,0.43168755778434714,0.8203125,0.42618525470041574,0,0,0,0,0.921875,0.8873518819016358,0.8389235694661257,0.937146973,0.9373473220606401,0.8518518518518519,0.39903846163036355
quartz,miniVite,0,0.2901162791471251,0.2920517559684221,0.20091324200000002,0.2918964076201666,0,0,0,0,0.01369863,0.003173267,0.003513401,2.398245771132422e-06,6.3239281396254045e-06,0,0.099460037
quartz,miniVite,0,0.064534884,0.064695009,0.0456621,0.064995823,0,0,0,0,0.01369863,3.8149087153609975e-05,0.000426649,2.398245771132422e-06,3.7943568837752427e-06,0,0.39903846163036355
quartz,miniVite,0,0.21486191861027254,0.28093952173267034,0.4869791666666667,0.2851555972575557,0,0,0,0,0.796875,0.095506423,0.20542093792564842,0.9999999999999999,0.9999942294155149,0.48148148148148145,0.39903846163036355
quartz,miniVite,0,0.42093023260403595,0.4237523105358106,0.299086758,0.42188805335057955,0,0,0,0,0.01369863,0.013520679693006523,0.010089099378825964,2.398245771132422e-06,5.059142511700324e-06,0,0.1995192308151818
quartz,miniVite,0,0.037790698,0.037892791121524376,0.027397260274999998,0.038095238,0,0,0,0,0.01369863,0.000256089,0.001214816,2.398245771132422e-06,6.3239281396254045e-06,0,0.39903846163036355
quartz,miniVite,0,0.2619458575649927,0.33839244456355416,0.5442708333333334,0.3331819130353945,0,0,0,0,0.96875,0.30948733,0.25264727261934444,0.9685727697880803,0.9686772674147999,0.7777777777777778,0.4982007140714419
quartz,miniVite,0,0.23197674420665051,0.23197781890681962,0.16210045658333336,0.23157894731063539,0,0,0,0,0.01369863,0.000482022,0.001167209,2.398245771132422e-06,7.588713767550485e-06,0,0.39903846163036355
quartz,miniVite,0,0.3521348110557244,0.4538253812604675,0.90625,0.4643013783336212,0.6,0,0,0,0.625,0.8671553346476389,0.9622114316293773,0.9685727697880803,0.9686700546458402,0.7407407407407407,0.39903846163036355
