machine,app,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
Quartz,TestDfft,0,0.036633552738501544,0.05751625,0.045340652312190526,0.034947913,0.006349311,0.006727829,0.002862595,0.002640845,0.006527864,0.034924751,0.21278177918849656,1,2.37587529490213e-05,0.012897952224420356,0.18425825496689316
Quartz,TestDfft,0,0.32434043014247793,0.40700218818380746,0.3754221474080764,0.3623630859503957,0.2036905372112634,0.27094801223241594,0.1431297709923664,0.2244718309859155,0.42169999312856454,0.3231514040046358,0.001535748,0.000217981,0.9508216334142645,0.14941715999328023,0.013265845037583825
Quartz,TestDfft,0,0.4160572078660816,0.4338396189985841,0.43682285095780454,0.4267661001548702,0.27564939896492996,0.41284403669724773,0.18384223918575063,0.29665492957746475,0.5069668720462371,0.479703137,0.012012767434032711,0.000217981,0.9420950772370595,0.2910338671541009,0.000869233
Quartz,TestDfft,0,0.073730971,0.11842338138756597,0.093496206,0.070792479,0.008564956,0.011009174311926606,0.004393289,0.006161972,0.011246249341487435,0.071005113,0.3673135745662106,1,2.8586509024819406e-05,0.019261677486002562,0.019271025
Quartz,TestDfft,0,0.5010563952543475,0.49427210709228986,0.5094691046082156,0.4989307558808426,0.5163941202731527,0.49969418960244655,0.5108142493638677,0.49735915492957744,0.3730807699061668,0.5080655563735081,0.003726114,0.000217981,0.9420950772370595,0.4710034275856708,0.00024728
Quartz,TestDfft,0,0.087633404,0.1239059080962801,0.096135396,0.07546698,0.013608029233287588,0.015902140672782877,0.007514313,0.010618397887323943,0.0031914,0.030443154,0.5096524233902795,1,2.8586509024819406e-05,0.032515677380692685,0.022117693
Quartz,TestDfft,0,0,0,0.000270596,0.000423182,0.001041684,0.001223242,0.000636132,0,0.27584232346137105,0.008763045,3.195821461751745e-05,0.000217981,0.9416165241563732,0.000900149,0.24018262524580622
Quartz,TestDfft,0,6.263882117124434e-05,0.000440452,0,0,,,,,0.010406407231804027,3.0230910438540978e-05,0.010723586644507826,0.999003514,0,0,0.049293954
Quartz,TestDfft,0,0.007746899,0.015059853262968208,0.015002266681192169,0.011928802812637161,0.011094760164685262,0.011009174311926606,0.003816794,0.004401408,0.4405124563854723,0.052554475323597805,0.001095786,0.000217981,0.9417713501530649,0.006596911,0.8799082870317964
Quartz,TestDfft,0,0.001125806,0.003740829,0.002741103,0.001820332,0,0,0,0,0.010665994792978917,0.004309902,0.017828664794074994,1,1.89169217783558e-05,0.000328467,0.063270221
Quartz,TestDfft,0,0.077956552,0.10496846440983396,0.10181791345846351,0.091504786,0.076175201,0.086850153,0.038167939,0.055457746478873235,0.5042793772952503,0.08466197,0.002303705,0.000217981,0.9499912030683682,0.10849675169185327,0.005914185
Quartz,TestDfft,0,0.009717482,0.017571840005148668,0.013821483920620471,0.010346232569405079,0.001967625,0.002446483,0.001272265,0.000880282,0.012605266573520513,0.009635965,0.066063036,1,0.000275351,0.002943662,0.039266295454560174
Quartz,TestDfft,0,0.6011701608971234,0.5924829450379714,0.610679056,0.6004232503037022,0.5671886109227996,0.6000000000000001,0.5858778625954199,0.5748239436619718,0.3366774319155271,0.6070835373462159,0.003759977,0.000217981,0.9501741792462788,0.5578188820604629,8.869030079891637e-05
Quartz,TestDfft,0,0.10325078552467631,0.14483443815162828,0.112135706,0.088502829,0.014120604,0.018960244648318043,0.008210083,0.012956646126760563,0,0.033053362,0.6533542037232476,1,0.000281065,0.041193712,0.021483835117393747
Quartz,TestDfft,0,0.000216696,0.000193075,0.000495507,0.000631181,0.001570793,0.001223242,0.000636132,0,0.34254105682677116,0.008336623,4.3637476401307525e-06,0.000217981,0.9496252507125504,0.001221093,0.15935800854273544
Quartz,TestDfft,0,0.000264099,0.000812524,0.000210854,0.000172078,,,,,0.004130496,0,0.013343414439002124,0.9989733469182407,0.000249397,1.755164571752381e-05,0.047283607
Quartz,TestDfft,0,0.009317948,0.016668811944909257,0.016689099,0.013549004427844067,0.013211197,0.012232415902140673,0.005089059,0.00528169,0.5849042198248547,0.053099084586406047,0.001034118,0.000217981,0.9498082268904611,0.005553842,0.9999999999999999
Quartz,TestDfft,0,0.001447465,0.004287875,0.003103069,0.002101541,0.000347228,0,0,0,0.00642861,0.004353221,0.019434247009661156,1,0.000269622,0.000408703,0.08934454
