machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,2000000,3989064,15453925000,6000000,700138940,-1,-1,-1,-1,-1,-1,538320,3104075,93053160000,0.3399736
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,32878000000,53720523000,15368830000,1.20552E+11,688610500,-1,-1,-1,-1,-1,-1,547464,3104075,94250560000,0.3399736
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,8000000,55300530000,15800153000,8000000,176818,-1,-1,-1,-1,-1,-1,541372,3105312,5715429400,0.3724706
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,4000000,54793920000,15811013000,14000000,573926,-1,-1,-1,-1,-1,-1,538332,3105312,95792734000,0.3529412
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,35088000000,56219845000,16320490000,6000000,767088060,-1,-1,-1,-1,-1,-1,541396,3106837,99578230000,1.3962414
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,10000000,3891560,1100189,1.28254E+11,6779,-1,-1,-1,-1,-1,-1,544448,3106837,87578350000,1.3585418
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,2000000,3914605,16881192000,20000000,791809200,-1,-1,-1,-1,-1,-1,544400,3108362,1.02432E+11,1.2769316
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,2000000,58386256000,16876879000,16000000,778314240,-1,-1,-1,-1,-1,-1,538296,3108362,1.04146E+11,1.4728343
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,2000000,60378395000,17423475000,1.36136E+11,2801340400,-1,-1,-1,-1,-1,-1,547464,3109887,1.052E+11,1.6072003
Corona,0.122523986,-1.8037195,0.17564055,0.8445729,1.4073024,-1.1774821,1.2642574,1.0025724,0.5070789,0.27307442,-1.0563214,0.47615516,-1.3882291,0.07291364,0.764383,1,2000000,60708827000,17467310000,14000000,629285,-1,-1,-1,-1,-1,-1,536764,3109887,14366676000,1.3636364
