machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,duration
quartz,laghos,1,23410000000.0,96868000000.0,33998000000.0,275962000000.0,832000000.0,886000000.0,46000000.0,28000000.0,0.0,37528035.0,97269516692.0,46601606642.0,37771.0,2193877.0,7172000000.0,0.9333
quartz,laghos,1,28932000000.0,119614000000.0,41974000000.0,340666000000.0,1048000000.0,1098000000.0,64000000.0,38000000.0,0.0,45827495.0,120072000000.0,57354272808.0,37771.0,2199060.0,8742000000.0,1.1166
quartz,laghos,1,28912000000.0,119602000000.0,41966000000.0,340642000000.0,1046000000.0,1100000000.0,88000000.0,50000000.0,0.0,45820563.0,120067000000.0,57318960230.0,37771.0,2199060.0,8646000000.0,1.1333
quartz,laghos,1,33672000000.0,139286000000.0,48864000000.0,396510000000.0,1202000000.0,1278000000.0,66000000.0,42000000.0,0.0,52841105.0,139772000000.0,66583516862.0,37771.0,2203455.0,10208000000.0,1.3166
quartz,laghos,1,33638000000.0,139258000000.0,48848000000.0,396472000000.0,1228000000.0,1276000000.0,66000000.0,40000000.0,0.0,52842274.0,139772000000.0,66520384369.0,37771.0,2203455.0,10120000000.0,1.3166
quartz,laghos,1,37626000000.0,155758000000.0,54636000000.0,443244000000.0,1354000000.0,1430000000.0,78000000.0,50000000.0,0.0,57829759.0,156265000000.0,74223078074.0,37771.0,2207296.0,11358000000.0,1.4666
quartz,laghos,1,37640000000.0,155764000000.0,54640000000.0,443260000000.0,1342000000.0,1432000000.0,76000000.0,44000000.0,0.0,57828703.0,156270000000.0,74232723108.0,37771.0,2207296.0,11480000000.0,1.4666
quartz,laghos,1,40972000000.0,169684000000.0,59530000000.0,482758000000.0,1510000000.0,1566000000.0,76000000.0,46000000.0,0.0,61894902.0,170220000000.0,80802717875.0,37771.0,2210591.0,12370000000.0,1.5833
quartz,laghos,1,40924000000.0,169658000000.0,59510000000.0,482716000000.0,1508000000.0,1562000000.0,112000000.0,66000000.0,0.0,61886440.0,170217000000.0,80808344848.0,37771.0,2210591.0,12452000000.0,1.6
quartz,laghos,1,322884000000.0,1589150000000.0,558380000000.0,4431640000000.0,23698000000.0,15880000000.0,2086000000.0,2114000000.0,0.0,605937214.0,1655160000000.0,769303000000.0,37771.0,2215571.0,128942000000.0,13.1666
quartz,laghos,1,322948000000.0,1589200000000.0,558410000000.0,4431700000000.0,23714000000.0,15854000000.0,2036000000.0,2060000000.0,0.0,605288880.0,1655160000000.0,769247000000.0,37771.0,2215571.0,129406000000.0,13.2333
quartz,laghos,1,430974000000.0,2123230000000.0,745640000000.0,5916820000000.0,31732000000.0,21260000000.0,3176000000.0,2858000000.0,0.0,779943430.0,2210570000000.0,1022540000000.0,37771.0,2230207.0,173332000000.0,19.2833
quartz,laghos,1,431278000000.0,2123470000000.0,745776000000.0,5917180000000.0,31810000000.0,21198000000.0,2672000000.0,2824000000.0,0.0,780217789.0,2210570000000.0,1022680000000.0,37771.0,2230207.0,170688000000.0,19.2166
quartz,laghos,1,537290000000.0,2646630000000.0,929314000000.0,7370410000000.0,39752000000.0,26498000000.0,3776000000.0,3900000000.0,0.0,909924798.0,2753850000000.0,1269610000000.0,37771.0,2244601.0,211366000000.0,24.4333
quartz,laghos,1,536316000000.0,2645960000000.0,928862000000.0,7369370000000.0,39754000000.0,26522000000.0,3680000000.0,3552000000.0,0.0,909344312.0,2753850000000.0,1268860000000.0,37771.0,2244600.0,216164000000.0,23.8666
quartz,laghos,1,580464000000.0,2862440000000.0,1004800000000.0,7969450000000.0,42988000000.0,28638000000.0,3726000000.0,4100000000.0,0.0,954590079.0,2978090000000.0,1370940000000.0,37771.0,2250458.0,233938000000.0,26.1
quartz,laghos,1,580776000000.0,2862610000000.0,1004940000000.0,7969710000000.0,42956000000.0,28624000000.0,3974000000.0,4052000000.0,0.0,954452993.0,2978090000000.0,1369600000000.0,37771.0,2250458.0,234966000000.0,26.3833
quartz,laghos,1,636374000000.0,3135850000000.0,1100910000000.0,8727630000000.0,47078000000.0,31442000000.0,4348000000.0,4064000000.0,0.0,1000674127.0,3261210000000.0,1498370000000.0,37771.0,2258111.0,256346000000.0,28.7666
quartz,laghos,1,635710000000.0,3135320000000.0,1100600000000.0,8726870000000.0,46828000000.0,31420000000.0,4116000000.0,4368000000.0,0.0,1000579724.0,3261210000000.0,1498010000000.0,37771.0,2258112.0,255702000000.0,28.8166
