machine,app,args,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.2 -pa,0.1666,11094000000.0,26248000000.0,8410000000.0,81100000000.0,214000000.0,158000000.0,0.0,0.0,4409107.0,15438980381.0,8060143728.0,105104.0,2252849.0,344000000.0,8.918262,,,,1.077738
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.3,0.1833,11462000000.0,27128000000.0,8690000000.0,83826000000.0,222000000.0,164000000.0,0.0,0.0,4558164.0,15958414128.0,8344189776.0,105104.0,2254374.0,354000000.0,9.247218,,,,1.750782
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.3 -pa,0.1833,11468000000.0,27130000000.0,8692000000.0,83828000000.0,222000000.0,164000000.0,0.0,0.0,4558575.0,15960227884.0,8360458783.0,105105.0,2254373.0,354000000.0,9.193506,,,,1.804494
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.4,0.2166,11836000000.0,28008000000.0,8972000000.0,86540000000.0,228000000.0,168000000.0,0.0,0.0,4706267.0,16473571596.0,8598963568.0,105103.0,2255896.0,364000000.0,9.558153,,,,3.437847
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.4 -pa,0.2,11836000000.0,28008000000.0,8972000000.0,86548000000.0,228000000.0,168000000.0,0.0,0.0,4705668.0,16477859575.0,8600674369.0,105104.0,2255898.0,366000000.0,9.562811,,,,2.437189
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.5,0.1833,12196000000.0,28858000000.0,9246000000.0,89178000000.0,224000000.0,172000000.0,0.0,0.0,4848539.0,16978740610.0,8851567165.0,105104.0,2257423.0,386000000.0,10.268244,,,,0.729756
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.5,0.6166,34194357143.0,53917214286.0,18521607143.0,145286000000.0,104571428.6,38785714.29,14178571.43,10000000.0,23659.69643,312246532.4,10032247935.0,108901.75,2109762.571,1997107143.0,13.51549966,,,,23.48050034
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.5 -pa,0.2,12200000000.0,28860000000.0,9246000000.0,89172000000.0,224000000.0,172000000.0,0.0,0.0,4848952.0,16976266120.0,8859637510.0,105104.0,2257423.0,386000000.0,10.328576,,,,1.671424
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.5 -pa,0.65,34005928571.0,53618571429.0,18439000000.0,144536000000.0,104642857.1,38678571.43,14107142.86,10107142.86,25249.07143,312224332.9,9609897694.0,108845.75,2109761.571,2041857143.0,13.05000439,,,,25.94999561
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.6,0.2,12508000000.0,29592000000.0,9482000000.0,91436000000.0,242000000.0,178000000.0,0.0,0.0,4970756.0,17407415234.0,9084055210.0,105104.0,2258704.0,380000000.0,10.073475,,,,1.926525
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.6 -pa,0.2,12500000000.0,29588000000.0,9480000000.0,91438000000.0,240000000.0,178000000.0,0.0,0.0,4971860.0,17404468259.0,9085248843.0,105104.0,2258705.0,388000000.0,10.078251,,,,1.921749
