machine,app,args,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 0,0.0333,2875000.0,28053571.43,5464285.714,51785714.29,1178571.429,589285.7143,35714.28571,17857.14286,10.66964286,16730073.06,13592711.3,938.7321429,19688.72321,1660714.286,0.01015867,,,,1.98784133
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 0 --procs 4,4,2",0.0666,63937500.0,161312500.0,51375000.0,408812500.0,0.0,0.0,0.0,0.0,946.40625,60326422.63,49186230.81,105877.6563,2107279.219,17750000.0,0.073682375,,,,3.922317625
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 1,0.05,6303571.429,45821428.57,9767857.143,94714285.71,1196428.571,589285.7143,35714.28571,17857.14286,6.339285714,24620163.56,13582736.82,938.7232143,19688.72321,1714285.714,0.014312804,,,,2.985687196
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 1 --procs 4,4,2",0.0666,74375000.0,222562500.0,66312500.0,555062500.0,0.0,0.0,0.0,0.0,864.78125,88676259.47,47541901.66,102541.6563,2107144.594,15562500.0,0.08738825,,,,3.90861175
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 2,0.0666,12125000.0,75553571.43,16964285.71,166535714.3,1517857.143,589285.7143,35714.28571,17857.14286,5.901785714,37805532.17,13583619.54,938.7232143,19688.72321,1839285.714,0.019986205,,,,3.976013795
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 2 --procs 4,4,2",0.0666,100625000.0,341562500.0,97000000.0,847937500.0,0.0,0.0,0.0,0.0,979.9375,134343120.1,47267891.06,105845.6563,2107278.219,16437500.0,0.118787062,,,,3.877212938
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 3,0.0666,20303571.43,117196428.6,27053571.43,267196428.6,1964285.714,607142.8571,35714.28571,17857.14286,5.785714286,56243438.29,13489004.55,938.7232143,19688.72321,2142857.143,0.027461304,,,,3.968538696
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 3 --procs 4,4,2",0.0666,134500000.0,487187500.0,135375000.0,1210687500.0,0.0,0.0,0.0,0.0,943.96875,199361123.5,47569086.09,105844.7188,2107278.188,16812500.0,0.144106125,,,,3.851893875
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 4,0.1,30910714.29,170875000.0,40035714.29,396964285.7,2428571.429,607142.8571,35714.28571,17857.14286,3.044642857,79931052.63,13463639.71,938.7232143,19688.73214,2303571.429,0.038274848,,,,5.961725152
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 16 --arch sequential --legendre 4 --procs 4,4,2",0.0666,173375000.0,695187500.0,187000000.0,1711812500.0,1000000.0,0.0,0.0,0.0,933.03125,281128695.0,47006358.22,105845.6563,2107278.219,16437500.0,0.190008188,,,,3.805991813
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 32 --arch sequential --legendre 0,0.0666,6892857.143,60660714.29,11482142.86,113607142.9,2339285.714,1196428.571,107142.8571,53571.42857,4.241071429,34198387.71,27095020.02,938.7232143,19688.72321,3285714.286,0.021190098,,,,3.974809902
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 32 --arch sequential --legendre 0 --procs 4,4,2",0.0666,99312500.0,309250000.0,88125000.0,733875000.0,0.0,0.0,0.0,0.0,887.90625,117204587.3,93928124.28,105813.6563,2107277.219,43750000.0,0.135399406,,,,3.860600594
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 32 --arch sequential --legendre 1,0.0833,17160714.29,109696428.6,21821428.57,229285714.3,2446428.571,1178571.429,107142.8571,53571.42857,4.232142857,52314296.63,27070846.63,938.7321429,19688.72321,3535714.286,0.031653375,,,,4.966346625
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 32 --arch sequential --legendre 1 --procs 4,4,2",0.0666,139625000.0,479812500.0,126625000.0,1147812500.0,0.0,0.0,0.0,0.0,944.25,179839124.7,91339163.09,102541.6563,2107144.594,35937500.0,0.165578469,,,,3.830421531
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 32 --arch sequential --legendre 2,0.1166,34642857.14,191946428.6,39107142.86,423428571.4,2964285.714,1178571.429,107142.8571,53571.42857,7.205357143,82503709.47,27153547.49,938.7232143,19688.72321,4035714.286,0.047174563,,,,6.948825437
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 32 --arch sequential --legendre 2 --procs 4,4,2",0.0666,205750000.0,791812500.0,194875000.0,1885500000.0,2000000.0,0.0,0.0,0.0,946.125,281731972.7,90414871.22,105845.6563,2107278.219,33250000.0,0.230713031,,,,3.765286969
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 32 --arch sequential --legendre 3,0.1666,59125000.0,307053571.4,63321428.57,695107142.9,3892857.143,1196428.571,125000.0,53571.42857,3.857142857,124762597.2,27173388.66,938.7232143,19688.72321,4142857.143,0.070672089,,,,9.925327911
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 32 --arch sequential --legendre 3 --procs 4,4,2",0.0666,281500000.0,1167875000.0,275000000.0,2772312500.0,2312500.0,0.0,0.0,0.0,953.46875,439230013.3,97594330.41,105845.6563,2107278.219,30437500.0,0.315565469,,,,3.680434531
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 32 --arch sequential --legendre 4,0.2166,90625000.0,455142857.1,94428571.43,1044625000.0,4571428.571,1214285.714,142857.1429,53571.42857,5.589285714,179120008.0,27212941.83,938.7142857,19688.71429,4589285.714,0.09838283,,,,12.89761717
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 32 --arch sequential --legendre 4 --procs 4,4,2",0.0833,407437500.0,1744937500.0,402125000.0,4147312500.0,4000000.0,0.0,0.0,0.0,928.09375,629496959.1,98269103.25,105844.7188,2107278.188,29625000.0,0.419213031,,,,4.578786969
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 8 --arch sequential --legendre 0,0.0333,1339285.714,13517857.14,2660714.286,24803571.43,553571.4286,303571.4286,0.0,0.0,6.008928571,8271573.527,6893031.0,938.7142857,19688.70536,732142.8571,0.005970277,,,,1.992029723
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 8 --arch sequential --legendre 0 --procs 4,4,2",0.0666,49500000.0,99437500.0,35125000.0,273562500.0,0.0,0.0,0.0,0.0,963.90625,31114466.56,25269220.91,105877.6563,2107279.219,3062500.0,0.044589094,,,,3.951410906
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 8 --arch sequential --legendre 1,0.0333,2714285.714,20821428.57,4625000.0,42803571.43,607142.8571,285714.2857,0.0,0.0,9.946428571,11970718.61,6795893.304,938.7142857,19688.71429,732142.8571,0.006856527,,,,1.991143473
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 8 --arch sequential --legendre 1 --procs 4,4,2",0.0666,58875000.0,130875000.0,44562500.0,354750000.0,0.0,0.0,0.0,0.0,926.0,44034050.5,23825083.75,105877.6563,2107279.219,3625000.0,0.054135688,,,,3.941864313
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 8 --arch sequential --legendre 2,0.05,4857142.857,32803571.43,7857142.857,72339285.71,696428.5714,303571.4286,0.0,0.0,4.0,18024031.38,6778032.929,938.7232143,19688.72321,839285.7143,0.00914425,,,,2.99085575
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 8 --arch sequential --legendre 2 --procs 4,4,2",0.0833,64687500.0,172875000.0,56000000.0,457812500.0,0.0,0.0,0.0,0.0,912.09375,65302002.78,24167900.91,102540.75,2107144.563,3812500.0,0.058771156,,,,4.939228844
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 8 --arch sequential --legendre 3,0.05,7946428.571,49660714.29,12392857.14,113910714.3,803571.4286,303571.4286,0.0,0.0,4.0625,26596857.2,6715295.607,938.7232143,19688.72321,964285.7143,0.012449339,,,,2.987550661
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 8 --arch sequential --legendre 3 --procs 4,4,2",0.0666,74875000.0,234125000.0,72875000.0,607500000.0,0.0,0.0,0.0,0.0,895.8125,95431278.22,24050629.69,102541.6563,2107144.594,3875000.0,0.072817375,,,,3.923182625
ruby,kripke.exe,--niter 10 --pmethod sweep --groups 8 --arch sequential --legendre 4,0.0666,11910714.29,71321428.57,18232142.86,167303571.4,1053571.429,303571.4286,17857.14286,0.0,7.696428571,37586021.51,6770860.875,938.7232143,19688.73214,1053571.429,0.016409875,,,,3.979590125
ruby,kripke.exe,"--niter 10 --pmethod sweep --groups 8 --arch sequential --legendre 4 --procs 4,4,2",0.0833,90625000.0,315000000.0,95812500.0,810437500.0,0.0,0.0,0.0,0.0,911.375,135037258.8,23870910.25,105845.6563,2107278.219,4250000.0,0.095441563,,,,4.902558438
ruby,kripke.exe,--niter 15 --pmethod bj --groups 16 --arch sequential --legendre 0,0.0666,6714285.714,44428571.43,10678571.43,94821428.57,1767857.143,1178571.429,35714.28571,53571.42857,6.705357143,25069336.71,20350157.53,938.7232143,19688.72321,2517857.143,0.016581768,,,,3.979418232
ruby,kripke.exe,"--niter 15 --pmethod bj --groups 16 --arch sequential --legendre 0 --procs 4,4,2",0.0833,89312500.0,241562500.0,89062500.0,686250000.0,0.0,4000000.0,0.0,0.0,1152.1875,89333294.66,72572200.09,105843.6875,2107278.156,30687500.0,0.119114406,,,,4.878885594
ruby,kripke.exe,--niter 15 --pmethod bj --groups 16 --arch sequential --legendre 1,0.0666,11964285.71,71196428.57,17160714.29,159517857.1,1803571.429,1160714.286,53571.42857,53571.42857,10.20535714,36910106.03,20380266.94,938.7321429,19688.72321,2535714.286,0.022718339,,,,3.973281661
ruby,kripke.exe,"--niter 15 --pmethod bj --groups 16 --arch sequential --legendre 1 --procs 4,4,2",0.0833,109625000.0,340937500.0,114312500.0,928937500.0,0.0,4000000.0,0.0,0.0,1142.5,132268836.3,71246439.25,105844.6875,2107278.188,27812500.0,0.140902406,,,,4.857097594
ruby,kripke.exe,--niter 15 --pmethod bj --groups 16 --arch sequential --legendre 2,0.0833,20750000.0,115875000.0,27982142.86,267464285.7,2428571.429,1178571.429,53571.42857,53571.42857,3.303571429,56635166.82,20386751.46,938.7232143,19688.72321,2785714.286,0.031730455,,,,4.966269545
ruby,kripke.exe,"--niter 15 --pmethod bj --groups 16 --arch sequential --legendre 2 --procs 4,4,2",0.0666,139000000.0,490875000.0,151000000.0,1291062500.0,1437500.0,4000000.0,0.0,0.0,1167.53125,200510476.1,71959480.25,105812.6875,2107277.188,31125000.0,0.175049094,,,,3.820950906
ruby,kripke.exe,--niter 15 --pmethod bj --groups 16 --arch sequential --legendre 3,0.1166,32982142.86,178303571.4,43089285.71,418285714.3,2964285.714,1178571.429,53571.42857,53571.42857,6.366071429,84306659.96,20367684.68,938.7232143,19688.73214,2910714.286,0.043220509,,,,6.952779491
ruby,kripke.exe,"--niter 15 --pmethod bj --groups 16 --arch sequential --legendre 3 --procs 4,4,2",0.0833,183687500.0,730500000.0,211000000.0,1871312500.0,2000000.0,4000000.0,0.0,0.0,1185.375,298219619.1,70775100.75,105876.6875,2107279.188,30375000.0,0.215422219,,,,4.782577781
ruby,kripke.exe,--niter 15 --pmethod bj --groups 16 --arch sequential --legendre 4,0.1333,48857142.86,258750000.0,62553571.43,612750000.0,3678571.429,1196428.571,53571.42857,53571.42857,10.94642857,119875421.0,20437198.36,938.7142857,19688.71429,3428571.429,0.059421482,,,,7.938578518
ruby,kripke.exe,"--niter 15 --pmethod bj --groups 16 --arch sequential --legendre 4 --procs 4,4,2",0.0833,247937500.0,1009437500.0,283375000.0,2559875000.0,2000000.0,4000000.0,0.0,0.0,1152.46875,421252659.3,70379028.38,102571.7188,2107145.531,28250000.0,0.270881156,,,,4.727118844
ruby,kripke.exe,--niter 15 --pmethod bj --groups 32 --arch sequential --legendre 0,0.1,14910714.29,95357142.86,22178571.43,203821428.6,3535714.286,2357142.857,160714.2857,89285.71429,6.794642857,51207083.4,40852180.68,938.7142857,19688.71429,4803571.429,0.03466542,,,,5.96533458
