machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,5500000.0,33666668.0,8527778.0,75638890.0,916666.7,1166666.6,27777.777,55555.555,6.3194447,18540896.0,13417601.0,525.05554,30141.916,4750000.0,1.0
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,8861111.0,52361110.0,13583333.0,121611110.0,1027777.75,1750000.0,27777.777,27777.777,14.625,28034570.0,13403595.0,525.05554,30141.916,5222222.0,1.0
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,13638889.0,78555550.0,20666666.0,186138900.0,1194444.5,2555555.5,55555.555,55555.555,15.180555,41330944.0,13505054.0,525.05554,30141.916,5388889.0,0.7507508
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,19805556.0,112333336.0,29777778.0,269333340.0,1222222.2,3583333.2,55555.555,55555.555,13.680555,58454700.0,13503800.0,525.05554,30141.916,6611111.0,0.6002401
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,4250000.0,43416668.0,8500000.0,79888890.0,1722222.2,1333333.4,83333.336,55555.555,12.972222,25978650.0,26698372.0,525.05554,30141.916,11750000.0,0.666
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,9722222.0,71194450.0,15250000.0,147027780.0,1750000.0,2055555.5,83333.336,55555.555,15.125,38264744.0,26719690.0,525.05554,30141.889,11805556.0,1.0
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,18833334.0,117555550.0,26500000.0,258972220.0,2250000.0,3277777.8,111111.11,55555.555,7.0972223,58744544.0,26646448.0,525.05554,30141.902,12416667.0,1.0
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,31638888.0,182500000.0,42250000.0,415805570.0,2777777.8,4916666.5,138888.89,83333.336,12.652778,87460620.0,26671234.0,525.05554,30141.902,12944444.0,0.666
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,47972224.0,265861100.0,62500000.0,617138900.0,3138889.0,7111111.0,138888.89,83333.336,15.722222,124297130.0,26630040.0,525.05554,30141.902,12750000.0,0.85763294
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,10138889.0,93638890.0,17861112.0,174777780.0,3472222.2,2722222.2,166666.67,138888.89,5.861111,53147536.0,53223600.0,525.05554,30141.902,23888888.0,0.79951984
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,26472222.0,170472220.0,34083332.0,356027780.0,3527777.8,4305555.5,166666.67,138888.89,12.263889,81298856.0,53468116.0,525.05554,30141.902,23583334.0,0.833
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,53805556.0,298666660.0,61083332.0,658361100.0,4638889.0,6888889.0,250000.0,138888.89,18.98611,128324800.0,53079524.0,525.05554,30141.902,24500000.0,0.7773333
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,91944450.0,477916670.0,98944450.0,1081111200.0,5416666.5,10444444.0,250000.0,138888.89,6.0277777,194051920.0,53279896.0,525.05554,30141.902,25500000.0,0.833
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,141027780.0,708527800.0,147583330.0,1625055600.0,6444444.5,15138889.0,305555.56,166666.67,20.833334,278622660.0,53198950.0,525.05554,30141.902,26722222.0,0.7645605
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,2027777.8,20972222.0,4166666.8,38416668.0,861111.1,666666.7,27777.777,27777.777,14.5,12872818.0,13456811.0,525.05554,30141.916,4305555.5,0.666
quartz,0.5822747,1.2193733,0.44129428,0.86179566,-0.16967079,0.74217916,0.7126496,0.99757224,0.7947625,-0.45061275,0.8172957,-0.5645067,1.0885847,-2.7555492,0.5649248,4250000.0,32444444.0,7222222.0,66666668.0,916666.7,1000000.0,0.0,27777.777,9.111111,18580790.0,13372210.0,525.05554,30141.902,4500000.0,0.666
