machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.2333,10434000000,24722000000,7956000000,76272000000,194000000,208000000,8000000,6000000,0,4145256,14515483000,10663130000,37771,2215168,1158000000,11.133866
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,32,0.6333,30823563000,48416813000,16791625000,1.31E+11,99062500,42750000,16250000,11250000,0,13602.031,459474050,7108840000,69843.875,2107574,1310000000,9.036614
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.2666,12200000000,28910000000,9304000000,89206000000,228000000,238000000,12000000,8000000,0,4848386,16975164000,12467357000,37771,2222505,1360000000,12.998832
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,32,0.6833,34831810000,54758564000,19035500000,1.48E+11,117312500,50375000,19500000,13312500,0,12507,537350850,8274867700,69874.91,2107804.2,1537687600,10.679586
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.2666,12208000000,28916000000,9308000000,89202000000,224000000,244000000,10000000,8000000,0,4849573,16976721000,12466432000,37771,2222504,1358000000,12.953582
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,32,0.6666,33639438000,52929250000,18442500000,1.43E+11,116750000,50437500,19312500,13187500,0,11606.156,537309630,8382172700,69874.91,2107804.2,1523375000,10.503509
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.2833,13414000000,31788000000,10234000000,98084000000,260000000,268000000,12000000,8000000,0,5327972,18669206000,13707820000,37771,2227626,1476000000,14.237395
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,32,0.75,38249810000,60141500000,20903563000,1.63E+11,127062500,54687500,21687500,14750000,0,12479.094,590905200,9194638000,69875.875,2107964.2,1647375000,11.378157
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.2833,13414000000,31786000000,10232000000,98078000000,274000000,268000000,12000000,8000000,0,5328433,18667070000,13705154000,37771,2227626,1534000000,14.364918
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,32,0.8,41112564000,64511310000,22323812000,1.75E+11,126625000,54125000,21500000,14562500,0,13397.0625,590922050,8964936000,69875.875,2107964.2,1683875000,11.672238
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,1,0.3166,14330000000,33958000000,10930000000,1.05E+11,274000000,280000000,12000000,8000000,0,5693421,19940213000,14646269000,37771,2231350,1578000000,15.260753
quartz,0.9038483,-0.9324975,-0.7826999,-0.88205534,0.5179731,-1.2948885,1.0559374,0.9527292,-1.6056764,-1.0400532,-0.52401435,-1.7999631,1.0976883,0.5085195,-0.8396667,32,0.8,40889810000,64285500000,22345562000,1.74E+11,135312500,57500000,22937500,15687500,0,12573.844,631197200,9609875000,69875.875,2108080.8,1775250000,12.729841
