machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,duration
quartz,laghos,32,1.11833E+11,1.79505E+11,62300500000,4.88071E+11,468062500,253187500,84187500,58812500,0,11317,6378038372,30799224189,69843.875,2110736.375,5644937500,2.0833
quartz,laghos,1,18722000000,77512000000,27208000000,2.2067E+11,688000000,712000000,50000000,30000000,0,30887939,77792290434,37168079192,37771,2189549,5748000000,0.7333
quartz,laghos,32,29098437500,45337750000,16517187500,1.26313E+11,150875000,98937500,27437500,18250000,0,877977.5938,2441696660,8667590992,69875.875,2106774.375,1816687500,0.6
quartz,laghos,1,18722000000,77512000000,27208000000,2.20672E+11,712000000,712000000,40000000,24000000,0,30885180,77796755598,37167429328,37771,2189547,5680000000,0.75
quartz,laghos,32,28018250000,43730375000,15984312500,1.21903E+11,151000000,98750000,27187500,18000000,0,877844.125,2441625420,8599874615,69875.875,2106774.375,1812000000,0.6
quartz,laghos,1,23430000000,96882000000,34004000000,2.75976E+11,842000000,894000000,44000000,28000000,0,37530644,97270317507,46548092112,37771,2193877,7080000000,0.9
quartz,laghos,32,35964687500,56082187500,20447562500,1.56248E+11,188875000,123875000,34062500,22812500,0,1060727.688,3053258063,10897858995,69874.90625,2106909.625,2246437500,0.7333
quartz,laghos,1,23410000000,96868000000,33998000000,2.75962E+11,832000000,886000000,46000000,28000000,0,37528035,97269516692,46601606642,37771,2193877,7172000000,0.9333
quartz,laghos,32,36527312500,56886750000,20722875000,1.58511E+11,188875000,123437500,33562500,22687500,0,1060607.313,3053348775,10838375698,69843.875,2106908.656,2264437500,0.75
quartz,laghos,1,28932000000,1.19614E+11,41974000000,3.40666E+11,1048000000,1098000000,64000000,38000000,0,45827495,1.20072E+11,57354272808,37771,2199060,8742000000,1.1166
quartz,laghos,32,46582312500,72461875000,26313812500,2.01767E+11,235375000,154562500,42875000,28437500,0,1291407.813,3768517513,13530766861,69874.90625,2107071.594,2801375000,0.9166
quartz,laghos,1,28912000000,1.19602E+11,41966000000,3.40642E+11,1046000000,1100000000,88000000,50000000,0,45820563,1.20067E+11,57318960230,37771,2199060,8646000000,1.1333
