machine,app,ranks,duration,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,REALTIME (sec)
quartz,laghos,32,1.1833,62311000000,97208375000,35480500000,2.71E+11,332062500,216750000,59875000,40500000,1730407.969,5341817276,18811330537,69842.90625,2107430.938,4012562500,29.67027169
quartz,laghos,1,13.1666,3.23E+11,1.59E+12,5.58E+11,4.43E+12,23698000000,15880000000,2086000000,2114000000,605937214,1.66E+12,7.69E+11,37771,2215571,1.29E+11,798.933732
quartz,laghos,32,2.3,1.06E+11,1.93E+11,70531500000,5.44E+11,1022250000,976125000,153437500,103375000,17797829.78,51838730790,52121133230,69875.875,2107587.531,9979062500,76.40125422
quartz,laghos,1,13.2333,3.23E+11,1.59E+12,5.58E+11,4.43E+12,23714000000,15854000000,2036000000,2060000000,605288880,1.66E+12,7.69E+11,37771,2215571,1.29E+11,801.388918
quartz,laghos,32,2.3666,1.09E+11,1.97E+11,71836000000,5.54E+11,1020625000,976000000,154500000,105062500,17797556.38,51838361647,52485683634,69842.90625,2107586.5,9976250000,77.08473319
quartz,laghos,1,19.2833,4.31E+11,2.12E+12,7.46E+11,5.92E+12,31732000000,21260000000,3176000000,2858000000,779943430,2.21E+12,1.02E+12,37771,2230207,1.73E+11,1058.203394
quartz,laghos,32,3.0333,1.38E+11,2.53E+11,92604125000,7.13E+11,1365812500,1308187500,207250000,139250000,22872635.41,69233669462,69600591368,69874.90625,2108044.844,13385312500,103.1360261
quartz,laghos,1,19.2166,4.31E+11,2.12E+12,7.46E+11,5.92E+12,31810000000,21198000000,2672000000,2824000000,780217789,2.21E+12,1.02E+12,37771,2230207,1.71E+11,1050.927101
quartz,laghos,32,3.1666,1.46E+11,2.64E+11,96328562500,7.43E+11,1371937500,1307687500,213000000,142000000,22872580.47,69234217648,69807776212,69875.875,2108044.875,13250687500,105.8368765
quartz,laghos,1,24.4333,5.37E+11,2.65E+12,9.29E+11,7.37E+12,39752000000,26498000000,3776000000,3900000000,909924798,2.75E+12,1.27E+12,37771,2244601,2.11E+11,1339.630632
quartz,laghos,32,3.8,1.77E+11,3.21E+11,1.18E+11,9.06E+11,1701875000,1635812500,261812500,175937500,26631743.63,86247765019,86304665403,69875.875,2108494.688,16730125000,128.7681208
quartz,laghos,1,23.8666,5.36E+11,2.65E+12,9.29E+11,7.37E+12,39754000000,26522000000,3680000000,3552000000,909344312,2.75E+12,1.27E+12,37771,2244600,2.16E+11,1313.960316
quartz,laghos,32,3.7833,1.73E+11,3.16E+11,1.16E+11,8.92E+11,1703875000,1631125000,264562500,178687500,26631877.59,86247681838,85817275676,69875.875,2108494.688,16706375000,127.9667407
quartz,laghos,1,26.1,5.80E+11,2.86E+12,1.00E+12,7.97E+12,42988000000,28638000000,3726000000,4100000000,954590079,2.98E+12,1.37E+12,37771,2250458,2.34E+11,1417.869592
quartz,laghos,32,4.0666,1.90E+11,3.46E+11,1.27E+11,9.76E+11,1843812500,1769625000,280312500,187187500,27938015.97,93270366939,94296229398,69874.90625,2108677.75,17962562500,137.6396923
quartz,laghos,1,26.3833,5.81E+11,2.86E+12,1.00E+12,7.97E+12,42956000000,28624000000,3974000000,4052000000,954452993,2.98E+12,1.37E+12,37771,2250458,2.35E+11,1426.511749
quartz,laghos,32,4.1333,1.94E+11,3.51E+11,1.28E+11,9.89E+11,1848812500,1771750000,280250000,189937500,27937993.16,93270654058,93194190810,69875.875,2108677.781,18146625000,138.1985198
quartz,laghos,1,28.7666,6.36E+11,3.14E+12,1.10E+12,8.73E+12,47078000000,31442000000,4348000000,4064000000,1000674127,3.26E+12,1.50E+12,37771,2258111,2.56E+11,1561.737206
quartz,laghos,32,4.3833,2.05E+11,3.75E+11,1.37E+11,1.06E+12,2020500000,1937437500,308937500,206625000,29274896.16,1.02E+11,1.04E+11,69874.90625,2108916.906,19668875000,149.7574475
quartz,laghos,1,28.8166,6.36E+11,3.14E+12,1.10E+12,8.73E+12,46828000000,31420000000,4116000000,4368000000,1000579724,3.26E+12,1.50E+12,37771,2258112,2.56E+11,1554.430646
quartz,laghos,32,4.45,2.08E+11,3.79E+11,1.39E+11,1.07E+12,2018687500,1939187500,307562500,206750000,29274545.94,1.02E+11,1.02E+11,69874.90625,2108916.906,19708000000,150.9570895
quartz,laghos,1,33.5333,7.41E+11,3.66E+12,1.28E+12,1.02E+13,54730000000,36628000000,4946000000,4740000000,1107051892,3.80E+12,1.75E+12,37771,2273181,3.00E+11,1790.211938
quartz,laghos,32,5.1666,2.41E+11,4.39E+11,1.61E+11,1.24E+12,2345437500,2251437500,357937500,241062500,32357040.34,1.19E+11,1.19E+11,69875.875,2109387.844,23036875000,174.8034244
quartz,laghos,1,33.7,7.41E+11,3.66E+12,1.28E+12,1.02E+13,54558000000,36592000000,5136000000,4920000000,1106701299,3.80E+12,1.75E+12,37771,2273181,2.99E+11,1791.634582
quartz,laghos,32,5.3166,2.51E+11,4.54E+11,1.66E+11,1.28E+12,2349687500,2256250000,353750000,240687500,32356767.81,1.19E+11,1.18E+11,69875.875,2109387.844,23108875000,176.1863377
quartz,laghos,32,22.8166,7.10E+11,1.96E+12,7.08E+11,5.56E+12,16942750000,14521812500,2301687500,1847812500,466550980.1,1.38E+12,7.83E+11,69843.875,2110557.094,1.29E+11,1085.176691
quartz,laghos,32,22.75,7.14E+11,1.97E+12,7.09E+11,5.56E+12,16913625000,14492187500,2298375000,1859250000,463103349.8,1.37E+12,7.79E+11,69842.90625,2110532.281,1.28E+11,1079.955367
quartz,laghos,32,26.1,8.18E+11,2.26E+12,8.16E+11,6.40E+12,19542625000,16738125000,2640687500,2148125000,512289247.3,1.58E+12,8.96E+11,69842.90625,2111192.563,1.47E+11,1245.413625
