machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
quartz,laghos,0.6,28018250000,43730375000,15984312500,1.22E+11,151000000,98750000,27187500,18000000,877844.125,2441625420,8599874615,69875.875,2106774.375,1812000000,13.47541534,,,,22.52458466
quartz,laghos,0.9,23430000000,96882000000,34004000000,2.76E+11,842000000,894000000,44000000,28000000,37530644,97270317507,46548092112,37771,2193877,7080000000,49.217785,,,,4.782215
quartz,laghos,0.7333,35964687500,56082187500,20447562500,1.56E+11,188875000,123875000,34062500,22812500,1060727.688,3053258063,10897858995,69874.90625,2106909.625,2246437500,16.80195247,,,,27.19604753
quartz,laghos,0.9333,23410000000,96868000000,33998000000,2.76E+11,832000000,886000000,46000000,28000000,37528035,97269516692,46601606642,37771,2193877,7172000000,48.350727,,,,7.647273
quartz,laghos,0.75,36527312500,56886750000,20722875000,1.59E+11,188875000,123437500,33562500,22687500,1060607.313,3053348775,10838375698,69843.875,2106908.656,2264437500,16.81629219,,,,28.18370781
quartz,laghos,1.1166,28932000000,1.20E+11,41974000000,3.41E+11,1048000000,1098000000,64000000,38000000,45827495,1.20E+11,57354272808,37771,2199060,8742000000,58.927597,,,,8.068403
quartz,laghos,0.9166,46582312500,72461875000,26313812500,2.02E+11,235375000,154562500,42875000,28437500,1291407.813,3768517513,13530766861,69874.90625,2107071.594,2801375000,20.78660097,,,,34.20939903
quartz,laghos,1.1333,28912000000,1.20E+11,41966000000,3.41E+11,1046000000,1100000000,88000000,50000000,45820563,1.20E+11,57318960230,37771,2199060,8646000000,64.708801,,,,3.289199
quartz,laghos,0.8833,44988062500,70075937500,25534875000,1.95E+11,234125000,154000000,41812500,28500000,1291325.563,3768891748,13343359077,69843.875,2107070.625,2776187500,20.86232331,,,,32.13567669
quartz,laghos,1.3166,33672000000,1.39E+11,48864000000,3.97E+11,1202000000,1278000000,66000000,42000000,52841105,1.40E+11,66583516862,37771,2203455,10208000000,70.2595,,,,8.7365
quartz,laghos,1,51387375000,80156375000,29244250000,2.23E+11,273562500,179750000,49562500,33000000,1485828.875,4386654372,15606138978,69875.875,2107208.938,3280937500,24.48055194,,,,35.51944806
quartz,laghos,1.3166,33638000000,1.39E+11,48848000000,3.96E+11,1228000000,1276000000,66000000,40000000,52842274,1.40E+11,66520384369,37771,2203455,10120000000,69.971961,,,,9.024039
quartz,laghos,0.9833,51008250000,79576562500,29062937500,2.22E+11,273312500,178875000,48875000,33062500,1485954.656,4386556263,15534772133,69874.90625,2107208.906,3264750000,24.72366538,,,,34.27433462
quartz,laghos,1.4666,37626000000,1.56E+11,54636000000,4.43E+11,1354000000,1430000000,78000000,50000000,57829759,1.56E+11,74223078074,37771,2207296,11358000000,78.778108,,,,9.217892
quartz,laghos,1.1166,57890812500,90233125000,32917687500,2.51E+11,306125000,200000000,56625000,37437500,1620399.188,4905395665,17300132842,69875.875,2107328.969,3676250000,27.34279891,,,,39.65320109
quartz,laghos,1.4666,37640000000,1.56E+11,54640000000,4.43E+11,1342000000,1432000000,76000000,44000000,57828703,1.56E+11,74232723108,37771,2207296,11480000000,77.888952,,,,10.107048
quartz,laghos,1.1166,58499750000,91176562500,33213562500,2.54E+11,304437500,199562500,55750000,37625000,1620358.25,4905068440,17247315524,69874.90625,2107328.938,3630687500,27.14786241,,,,39.84813759
quartz,laghos,1.5833,40972000000,1.70E+11,59530000000,4.83E+11,1510000000,1566000000,76000000,46000000,61894902,1.70E+11,80802717875,37771,2210591,12370000000,84.166428,,,,10.831572
